id,image,subject,predicate,object,verdict (y/n),notes
1,001.png,cube10,to the right of,bottle5,y,vlm:gemini-3.6-flash
2,002.png,cube6,behind,cube5,y,vlm:gemini-3.6-flash
3,003.png,book5,under,cube2,y,vlm:gemini-3.6-flash
4,004.png,cube5,on,box13,y,vlm:gemini-3.6-flash
5,005.png,book3,on,box4,y,vlm:gemini-3.6-flash
6,006.png,box4,behind,book6,n,vlm:gemini-3.6-flash
7,007.png,box1,in front of,book2,y,vlm:gemini-3.6-flash
8,008.png,cube4,in front of,human2,y,vlm:gemini-3.6-flash
9,009.png,box7,near,cube9,n,vlm:gemini-3.6-flash
10,010.png,remote15,near,book4,y,vlm:gemini-3.6-flash
11,011.png,cube6,near,bottle1,y,vlm:gemini-3.6-flash
12,012.png,bottle3,near,human7,n,vlm:gemini-3.6-flash
13,013.png,box0,to the left of,box1,y,vlm:gemini-3.6-flash
14,014.png,bottle1,behind,box0,y,vlm:gemini-3.6-flash
15,015.png,book2,on,book8,y,vlm:gemini-3.6-flash
16,016.png,bottle1,under,book0,y,vlm:gemini-3.6-flash
17,017.png,remote7,behind,box0,y,vlm:gemini-3.6-flash
18,018.png,cube3,on,remote4,y,vlm:gemini-3.6-flash
19,019.png,book1,under,box0,y,vlm:gemini-3.6-flash
20,020.png,book9,to the left of,cube11,y,vlm:gemini-3.6-flash
21,021.png,remote4,under,bottle2,n,vlm:gemini-3.6-flash
22,022.png,box0,near,cube3,y,vlm:gemini-3.6-flash
23,023.png,book0,in front of,bottle5,y,vlm:gemini-3.6-flash
24,024.png,remote7,behind,bottle2,n,vlm:gemini-3.6-flash
25,025.png,box1,under,book0,y,vlm:gemini-3.6-flash
26,026.png,bottle1,on,bottle2,n,vlm:gemini-3.6-flash
27,027.png,cube4,under,box5,n,vlm:gemini-3.6-flash
28,028.png,cube2,to the right of,remote5,y,vlm:gemini-3.6-flash
29,029.png,book11,near,cube12,n,vlm:gemini-3.6-flash
30,030.png,bottle7,on,box3,y,vlm:gemini-3.6-flash
31,031.png,cube11,in front of,book3,y,vlm:gemini-3.6-flash
32,032.png,cube7,in front of,book11,y,vlm:gemini-3.6-flash
33,033.png,box1,under,cube2,y,vlm:gemini-3.6-flash
34,034.png,book2,to the right of,bottle5,y,vlm:gemini-3.6-flash
35,035.png,box1,under,book0,y,vlm:gemini-3.6-flash
36,036.png,cube4,on,book7,y,vlm:gemini-3.6-flash
37,037.png,cube7,under,cube6,n,vlm:gemini-3.6-flash
38,038.png,box5,on,book0,n,vlm:gemini-3.6-flash
39,039.png,cube8,on,cube10,y,vlm:gemini-3.6-flash
40,040.png,box2,near,bottle0,y,vlm:gemini-3.6-flash
41,041.png,book3,to the left of,book0,y,vlm:gemini-3.6-flash
42,042.png,cube12,on,book11,y,vlm:gemini-3.6-flash
43,043.png,book3,in front of,human4,y,vlm:gemini-3.6-flash
44,044.png,cube13,behind,book11,y,vlm:gemini-3.6-flash
45,045.png,book2,to the right of,book10,y,vlm:gemini-3.6-flash
46,046.png,box3,near,human9,n,vlm:gemini-3.6-flash
47,047.png,book3,to the left of,cube9,y,vlm:gemini-3.6-flash
48,048.png,box3,under,bottle8,y,vlm:gemini-3.6-flash
49,049.png,book2,on,cube5,n,vlm:gemini-3.6-flash
50,050.png,book4,to the right of,book8,y,vlm:gemini-3.6-flash
51,051.png,human12,to the left of,cube7,y,vlm:gemini-3.6-flash
52,052.png,bottle0,in front of,cube8,y,vlm:gemini-3.6-flash
53,053.png,book1,to the right of,human13,y,vlm:gemini-3.6-flash
54,054.png,bottle1,in front of,remote4,n,vlm:gemini-3.6-flash
55,055.png,book4,to the left of,bottle8,n,vlm:gemini-3.6-flash
56,056.png,remote14,to the left of,cube10,y,vlm:gemini-3.6-flash
57,057.png,human1,behind,human0,n,vlm:gemini-3.6-flash
58,058.png,human6,to the left of,cube0,y,vlm:gemini-3.6-flash
59,059.png,book4,under,cube8,y,vlm:gemini-3.6-flash
60,060.png,book12,under,cube6,y,vlm:gemini-3.6-flash
61,061.png,box7,under,cube3,y,vlm:gemini-3.6-flash
62,062.png,cube8,to the right of,cube7,n,vlm:gemini-3.6-flash
63,063.png,remote7,on,cube2,n,vlm:gemini-3.6-flash
64,064.png,bottle2,to the left of,cube3,n,vlm:gemini-3.6-flash
65,065.png,book2,in front of,book6,y,vlm:gemini-3.6-flash
66,066.png,remote7,under,bottle5,n,vlm:gemini-3.6-flash
67,067.png,box4,near,bottle1,y,vlm:gemini-3.6-flash
68,068.png,book2,near,cube3,y,vlm:gemini-3.6-flash
69,069.png,cube10,to the right of,remote14,y,vlm:gemini-3.6-flash
70,070.png,book2,in front of,cube9,n,vlm:gemini-3.6-flash
71,071.png,box2,to the left of,bottle3,y,vlm:gemini-3.6-flash
72,072.png,bottle8,on,bottle6,n,vlm:gemini-3.6-flash
73,073.png,human11,behind,cube2,y,vlm:gemini-3.6-flash
74,074.png,cube8,in front of,box6,y,vlm:gemini-3.6-flash
75,075.png,bottle5,on,remote7,n,vlm:gemini-3.6-flash
76,076.png,cube0,behind,book9,y,vlm:gemini-3.6-flash
77,077.png,book1,behind,book9,y,vlm:gemini-3.6-flash
78,078.png,box0,behind,bottle2,y,vlm:gemini-3.6-flash
79,079.png,cube10,under,cube9,y,vlm:gemini-3.6-flash
80,080.png,box1,to the left of,cube13,y,vlm:gemini-3.6-flash
81,081.png,cube5,on,cube8,y,vlm:gemini-3.6-flash
82,082.png,cube8,near,cube9,n,vlm:gemini-3.6-flash
83,083.png,cube6,in front of,bottle7,y,vlm:gemini-3.6-flash
84,084.png,human10,in front of,bottle0,n,vlm:gemini-3.6-flash
85,085.png,cube6,behind,bottle5,y,vlm:gemini-3.6-flash
86,086.png,box8,under,cube6,y,vlm:gemini-3.6-flash
87,087.png,box0,to the left of,remote7,y,vlm:gemini-3.6-flash
88,088.png,cube3,under,bottle2,y,vlm:gemini-3.6-flash
89,089.png,cube4,to the right of,cube11,y,vlm:gemini-3.6-flash
90,090.png,book0,to the left of,bottle2,y,vlm:gemini-3.6-flash
91,091.png,box0,in front of,box2,y,vlm:gemini-3.6-flash
92,092.png,cube1,under,cube0,y,vlm:gemini-3.6-flash
93,093.png,cube2,on,book6,y,vlm:gemini-3.6-flash
94,094.png,book1,near,book4,y,vlm:gemini-3.6-flash
95,095.png,box1,in front of,bottle2,y,vlm:gemini-3.6-flash
96,096.png,cube8,on,book4,y,vlm:gemini-3.6-flash
97,097.png,book3,under,cube7,y,vlm:gemini-3.6-flash
98,098.png,cube3,on,cube5,n,vlm:gemini-3.6-flash
99,099.png,cube9,on,remote7,y,vlm:gemini-3.6-flash
100,100.png,bottle6,near,human12,n,vlm:gemini-3.6-flash
101,101.png,book7,in front of,book1,y,vlm:gemini-3.6-flash
102,102.png,cube0,on,cube1,y,vlm:gemini-3.6-flash
103,103.png,book11,near,cube10,y,vlm:gemini-3.6-flash
104,104.png,book6,to the right of,cube3,y,vlm:gemini-3.6-flash
105,105.png,cube10,to the left of,box12,y,vlm:gemini-3.6-flash
106,106.png,cube12,behind,book9,y,vlm:gemini-3.6-flash
107,107.png,book3,to the right of,human5,y,vlm:gemini-3.6-flash
108,108.png,bottle0,near,book4,y,vlm:gemini-3.6-flash
109,109.png,book10,near,book9,y,vlm:gemini-3.6-flash
110,110.png,bottle4,behind,cube8,y,vlm:gemini-3.6-flash
111,111.png,bottle7,to the right of,box1,y,vlm:gemini-3.6-flash
112,112.png,bottle2,on,remote4,n,vlm:gemini-3.6-flash
113,113.png,book2,behind,book10,y,vlm:gemini-3.6-flash
114,114.png,book3,to the left of,bottle6,n,vlm:gemini-3.6-flash
115,115.png,bottle1,in front of,human5,y,vlm:gemini-3.6-flash
116,116.png,cube8,on,bottle6,n,vlm:gemini-3.6-flash
117,117.png,box0,to the right of,cube7,n,vlm:gemini-3.6-flash
118,118.png,bottle6,under,cube8,y,vlm:gemini-3.6-flash
119,119.png,book5,to the right of,book15,y,vlm:gemini-3.6-flash
120,120.png,bottle5,to the right of,bottle9,y,vlm:gemini-3.6-flash
121,121.png,bottle4,in front of,box5,y,vlm:gemini-3.6-flash
122,122.png,cube9,on,cube10,n,vlm:gemini-3.6-flash
123,123.png,book1,to the right of,cube11,y,vlm:gemini-3.6-flash
124,124.png,box11,under,book12,y,vlm:gemini-3.6-flash
125,125.png,book13,under,book12,y,vlm:gemini-3.6-flash
126,126.png,box4,under,cube5,y,vlm:gemini-3.6-flash
127,127.png,cube3,under,bottle7,n,vlm:gemini-3.6-flash
128,128.png,cube8,on,book12,y,vlm:gemini-3.6-flash
129,129.png,cube10,on,remote6,y,vlm:gemini-3.6-flash
130,130.png,cube1,on,bottle3,y,vlm:gemini-3.6-flash
131,131.png,book1,under,cube0,y,vlm:gemini-3.6-flash
132,132.png,book4,near,book2,n,vlm:gemini-3.6-flash
133,133.png,book0,to the right of,book2,y,vlm:gemini-3.6-flash
134,134.png,box4,near,human7,n,vlm:gemini-3.6-flash
135,135.png,human5,in front of,human6,y,vlm:gemini-3.6-flash
